device = cuda
building dataset ...
  #windows = 64000  (built in 2.1s)

epoch | train_loss | val_minADE(m) | val_meanADE(m)
    1 |     0.8158 |        69.971 |       155.600
    2 |    -0.1285 |        73.156 |       156.220
    3 |    -0.2555 |        74.071 |       156.569
    4 |    -0.2931 |        72.311 |       156.766
    5 |    -0.2166 |        72.111 |       156.269
    6 |    -0.4830 |        71.040 |       153.739
    7 |    -1.0706 |        66.370 |       141.897
    8 |    -2.0940 |        52.322 |        82.130
    9 |    -5.4056 |        44.262 |        52.797
   10 |    -7.0517 |        38.711 |        32.986
   11 |    -8.3252 |        33.643 |        19.316
   12 |    -9.5334 |        30.761 |        14.044
   13 |    -9.7161 |        28.280 |         5.393
   14 |   -10.2481 |        25.327 |         1.304
   15 |   -10.2047 |        23.578 |         1.966
   16 |   -10.5515 |        21.836 |         2.612
   17 |   -10.8113 |        20.738 |         2.976
   18 |   -10.7790 |        18.582 |         1.734
   19 |   -11.2294 |        17.389 |         1.401
   20 |   -11.3739 |        16.739 |         2.021
   21 |   -11.3550 |        15.736 |         1.743
   22 |   -11.6276 |        15.153 |         1.251
   23 |   -11.9371 |        15.192 |         2.577
   24 |   -12.0806 |        14.209 |         1.055
   25 |   -12.3406 |        14.058 |         1.131
   26 |   -12.6604 |        14.038 |         0.998
   27 |   -12.9216 |        13.959 |         1.167
   28 |   -13.2389 |        13.903 |         1.062
   29 |   -13.2582 |        14.032 |         1.223
   30 |   -13.4786 |        14.004 |         1.331
   31 |   -13.6970 |        13.979 |         1.349
   32 |   -13.9078 |        13.903 |         1.419
   33 |   -14.0737 |        13.967 |         1.628
   34 |   -14.2414 |        13.830 |         1.630
   35 |   -14.3871 |        13.673 |         1.666
   36 |   -14.4891 |        13.452 |         1.725
   37 |   -14.5249 |        13.238 |         1.734
   38 |   -14.5611 |        13.042 |         1.747
   39 |   -14.5815 |        12.913 |         1.721
   40 |   -14.5933 |        12.869 |         1.712

saved BEST predictor weights -> stage1_conv_check.pt
best val minADE = 12.869 m, meanADE = 1.712 m
